FCLTY_ID,FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,SEARCH_MT,SEARCH_CO,RANK_CO,FILE_NM,BASE_DE
"KC594PO23N000000953","제7회 낙동강세계평화문화 대축전","128.401401","36.019199","경상북도","칠곡군","4785025625","석적읍","4785025600","석적읍","478503322009","경상북도 칠곡군 석적읍 석적로 226","2024-02-01","100.0","258","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000954","제89회 춘향제","127.3805045","35.40412922","전라북도","남원시","4519010500","천거동","4519055000","금동","521903000200","전라북도 남원시 요천로 1447","2024-02-01","3590.0","25","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000955","제8회 낙동강 구포나루 축제","128.9900968","35.19688402","부산광역시","북구","2632010500","구포동","2632052000","구포제2동","263204196079","부산광역시 북구 낙동대로1570번길 33","2024-02-01","30.0","382","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000956","제8회 대한민국와인축제","127.7739921","36.1736274","충청북도","영동군","4374025028","영동읍","4374025000","영동읍","437403243054","충청북도 영동군 영동읍 학산영동로 1244-1","2024-02-01","70.0","293","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000957","제8회 북페스티벌","129.0558558","35.16545561","부산광역시","부산진구","2623010500","범전동","2623051000","부전제1동","262303129030","부산광역시 부산진구 시민공원로 73","2024-02-01","150.0","209","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000958","제주 라프 별빛축제","126.707013","33.4868384","제주특별자치도","제주시","5011025930","조천읍","5011025900","조천읍","501103349094","제주특별자치도 제주시 조천읍 선교로 115-1","2024-02-01","28.0","414","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000959","제주국제관광마라톤축제","126.7616506","33.5561992","제주특별자치도","제주시","5011025634","구좌읍","5011025600","구좌읍","501103349030","제주특별자치도 제주시 구좌읍 김녕로 209","2024-02-01","140.0","217","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000960","제주들불축제","126.3877935","33.3511411","제주특별자치도","제주시","5011025339","애월읍","5011025300","애월읍","501104849121","제주특별자치도 제주시 애월읍 화전길 201","2024-02-01","2860.0","33","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000961","제주왕벚꽃축제","126.5173665","33.50414427","제주특별자치도","제주시","5011010500","삼도일동","5011055000","삼도1동","501103349176","제주특별자치도 제주시 전농로 40","2024-02-01","700.0","85","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000962","제주유채꽃축제","126.7362849","33.38309728","제주특별자치도","서귀포시","5013032024","표선면","5013032000","표선면","501303349231","제주특별자치도 서귀포시 표선면 녹산로 381-15","2024-02-01","2100.0","41","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000963","제주푸드앤와인페스티벌","126.4748646","33.4770439","제주특별자치도","제주시","5011012200","노형동","5011066000","노형동","501104849157","제주특별자치도 제주시 한라대학로 38","2024-02-01","130.0","221","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000964","제주해비치아트페스티벌","126.8447796","33.3234478","제주특별자치도","서귀포시","5013032021","표선면","5013032000","표선면","501303350090","제주특별자치도 서귀포시 표선면 민속해안로 537","2024-02-01","80.0","282","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000965","제천국제음악영화제","128.2168544","37.14868519","충청북도","제천시","4315011300","청전동","4315059000","청전동","431502239002","충청북도 제천시 의림대로 242","2024-02-01","1220.0","58","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000966","제천의병제","128.2168544","37.14868519","충청북도","제천시","4315011300","청전동","4315059000","청전동","431502239002","충청북도 제천시 의림대로 242","2024-02-01","20.0","427","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000967","조선통신사 축제","129.0311369","35.09953937","부산광역시","중구","2611013100","창선동1가","2611057000","광복동","261103125002","부산광역시 중구 창선동1가 광복중앙로 3","2024-02-01","280.0","151","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
"KC594PO23N000000968","지리산 바래봉 눈꽃축제","127.5486175","35.4350897","전라북도","남원시","4519025027","운봉읍","4519025000","운봉읍","521904613232","전라북도 남원시 운봉읍 바래봉길 214","2024-02-01","90.0","270","KC_594_WNTY_FSTV_TRND_MAP_2024","20241231"
